#,題名,親チケット,説明
6312,詳細画面の新規作成時、申請者は承認者に承認申請をすることができる,"","・申請ボタン押下すると、コメントを入力するポップアップ画面が表示される
　　一次承認者を申請者が選択する場合・・・コメントを入力するポップアップ画面に承認者を選択する検索ボタンがある
　　一次承認者を選択しない場合・・・申請依頼ボタンで承認ルートを取得する

　【申請依頼ボタン押下後】　　　　
承認ルートが表示される
通知先ボタンが表示される
申請したら申請者は申請内容を修正できないようにする
一次承認者のTOP画面の未承認に件数を追加する
申請内容の入力エラーチェックがおこなわれる⇒エラーがあればエラー表記する
コメントボタンが表示される⇒コメントがある場合は有と表示されなければ無と表示されている

　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　



　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　

"
6238,閲覧制限は、その時の閲覧権限区分で判断する,"","人財課であっても閲覧できる人を制限したりする。同様に各部署で発生する可能性がある。
申請部署と主管部署が閲覧できる。
主管部署のみ閲覧のみできる。
申請者と承認者が閲覧できる。
申請者と閲覧権限者のみ閲覧できる
閲覧権限者のみ閲覧ができる

現在は承認種類マスタで権限コードで制限している。"
6314,承認者の詳細画面で申請内容欄等は申請者が入力したものが表示されている,"","申請内容・・・申請者が登録した申請内容が表示されている―選択ボタンはなしで編集不可
申請部署・・・申請者が登録した申請部署が表示されている―編集不可
申請日時・・・申請者が申請した日時と時間がyyyymmddhhmmで表示されている
申請者・・・申請者名が表示されている

申請者が入力した申請内容を表示する
添付ファイルの内容確認ができる
承認者が編集するこはできない"
6266,TOP画面で条件を入力することで条件にあったレコードを表示させることができる,"","【絞り込みできる項目】
・申請内容	
・状況	
・申請者	
・申請部署	
・申請日	
・最終申請日	
・件名	
・物件	
・番号
・承認者
・承認日
・通知者
・承認対象のみ
・不在分
・閲覧権限
・
	
"
6316,承認者の詳細画面で承認することができる,"","承認ボタンがあり押下すると『承認しますか？』のポップアップ画面が表示される
承認ボタン押下で次承認者のTOP画面の未承認の件数が追加される"
6375,申請入力項目を保存する,6305,"* 入力項目を登録もしくは更新で保存する
** ステータスは本登録として保存すること"
6305,詳細画面で新規作成時、申請情報を登録することができる,"","申請情報欄
・申請内容・・・選択ボタンがあり申請内容を選択することができる⇒申請内容に選択した申請内容が表示される
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　選択した申請内容を変更したい場合は再度選択ボタンを押下することで変更できる
　　　　　　　　選択ボタン押下すると申請内容の文字の曖昧検索ができる（１文字以上で検索できる）
　　　　　　　　　　　　　　　　　　主幹部署で検索することができる
　　　　　　　　　　　　　　　　　　申請できない書類（電子化しない書類）を検索することができる⇒承認申請はできないようになっている　
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　雛形を確認することができる

・申請部署・・・ログイン者のメイン部署がデフォルト値として表示されている
　　　　　　　　プルダウンで部署が選択できるようになっている

・申請日時・・・申請ボタン押下した日時が表示されていて新規作成時は空白となっている
　　　　　　　　日付はyyyymmddhhmmで表示　　

・申請者・・・ログイン者名が表示されている
"
6202,【技術関連】リポジトリ準備,"","* リモートリポジトリ作成
* メンバーの招待
* 利用手順作成
* RedmineのwikiにURL貼り付け"
6286,申請を廃止しても過去参照は正しく行える,"",""
6371,承認者を追加できる,6293,"h2. 方向性

* 追加する承認者をつかんで順序を指定できる
** ただし*承認済みの承認者の前には追加できない
** 追加した承認者のみ削除できる
"
6372,通知者を追加できる,6293,"h2. 方向性

* 通知者を追加する
** 追加した通知者のみ削除できる
"
6373,申請内容を選択することができる,"","申請内容を検索することができる

検索パターンについては #6305 参照"
6244,最終承認後の取消機能　（見積外機能）,"",""
6374,申請区分により入力項目が切り替わる,6305,表示非表示／活性非活性のいずれかで制御する。
6205,【技術関連】開発標準土台作成,"","h2. どこに記載するか

* power point
* excel
* Redmine Wiki
* markdown file"
6301,Top画面に条件入力部分にクリアボタンを用意する,"",クリアボタン押下で条件が入力されているものすべてを消去する
6376,申請情報ヘッダを表示する,6305,"表示内容は #6305 参照

* 申請部署
* 申請日時（申請時に日時が入るので、申請日時が入っている場合のみ表示）
* 申請者"
6303,承認通知を一括で既読する機能,"",""
6275,Top画面から検索した申請内容から詳細画面に遷移し複写機能ボタンで過去のデータを申請内容に複写し申請することができる,"","・複写されたデータは再編集して申請することができる
"
6289,承認ルートマスタの変更を社内申請システムでおこなってもらう　見積外機能,"",""
6327,最終承認完了後に申請者の作業が発生する場合、作業確認用のチェックボックスやテキストを用意することができる,"",""
6292,承認者がコメントしたときに、申請者やそれまでの承認者にコメントされたことがわかるようにする　見積外,"",""
6231,ブルートフォース攻撃に対応する,"",同一IDに対して、パスワードを5回連続間違えた場合、アカウントをロックする
6232,管理者でユーザーのパスワードをリセット or 変更することができる,"",""
6233,ログインセッションは、8時間まで保持する,"",""
6246,人事異動で社員マスタの所属部署を変更することができる,"","所属変更する前に申請され承認者として選択されている場合は、そのまま承認可能とする
閲覧権限がなくなった場合は、エラーとしてわかるようにして申請者が取消後、再承認依頼することで対応する"
6222,【技術関連】レイヤー構成,"","* template
* view
* service
* model"
6234,利用者は、パスワードを自分で変更できる,"","旧パスワード確認入力テキストボックスを設け、新パスワード入力用確認用のテキストボックスを2か所設ける
新入力パスワードが一致していたら、ハッシュ化して保存を行う"
6247,各テーブルからデータを出力することができる,"",ACCESS等でODBC接続できるといいかなぁ
6320,詳細画面で通知者を確認することができる,"",通知者ボタンを設ける
6293,申請者・承認者は、承認者および通知者を追加できる,"","承認者の追加は、基本的に最終承認者以前にしか追加できないこと。
ただし、ルート未設定承認の場合は承認者をすべて追加することができる"
6213,【技術関連】システム監視検討,"","* アプリケーションエラーログ監視
* アクセス制限オーバー監視
* ストレージ容量監視
* AWS費用監視
* 監視通知はメール？"
6235,退職者は、ログインできないようにする,"",""
6256,ログイン者が申請者の場合、自分が関係するものをTOP画面で件数の確認することができる,"","・申請中・・・ログイン者が申請した件数が表示されている
・差戻し・・・ログイン者が申請したものが承認者によって否認された件数が表示されている
・下書き・・・ログイン者が下書き保存している件数が表示されている
・承認通知・・ログイン者が申請したものが承認完了した通知の件数が表示されている"
6268,詳細画面に戻るボタン作成,"",戻るボタン押下でTOP画面に戻る
6270,詳細画面にログアウトボタンがある,"",ログアウトボタン押下でログイン画面が表示される
6294,承認後にしないといけない作業のマニュアルを表示することができる,"",""
6245,添付したExcelファイルがサーバー側にある情報と端末での情報がことなることが発生しないようにする,"",""
6242,社員の姓名変更に対応できる,"","履歴は、姓名の変更により変わることは問題ない。
社員番号が変更になる場合がある（出向者定年退職時、この時は別として扱うことでOK）"
6321,詳細画面で最終承認完了後に申請者が申請取消したい場合に取消処理できるようにする,"","最終承認者が承認完了したら表示されるボタン
最終承認完了後に申請者が申請取消したい場合に使用する

ステータス変更と、承認者たちに取り消されたことの通知をする"
6319,承認者は詳細画面で承認取消することができる,"","承認したが次承認者が承認するまでの間承認を取り消すことができる
Top画面の未承認件数を追加する
次承認の未承認件数を減らす"
6237,利用者はログアウトができるようにする。ログアウト後は、ログイン画面に遷移する。,"","戻るボタンでもログアウト後は表示不可になっていること
"
6257,TOP画面から申請内容の新規登録することができる,"",新規作成時に詳細画面に遷移する
6269,詳細画面でログイン者名が表示されている,"",""
6309,詳細画面で印刷することができる,"","詳細画面で印刷ボタンがあり、Excel形式でもPDF形式でも申請内容を印刷することができる
システム管理者によってどこになにを印字するか編集できるようにする"
6295,承認者が同一承認階層にある場合は、必要承認者数が承認されるまで次の承認段階にいかないようにする,"",""
6307,詳細画面にCSV出力ボタンがある,"",申請内容をCSV出力することができる
6243,申請内容によって変わる部分で、契約先マスタ登録で1マンションでN人数の申請をする場合があり、N人数登録申請することを可能とする,"",""
6313,承認者の詳細画面で承認状況欄には承認ルートが表示されている,"",差戻されて再度承認依頼されてきたものは前回承認ルートも表示される
6263,TOP画面にログアウトボタンがある,"",押下されるとログイン画面になる
6271,新規作成時の詳細画面の承認状況欄は空白となっている,"",""
